id,brand,item_name,category,description,serving_amount,serving_unit,serving_label,calories,fat_g,carbs_g,protein_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,potassium_mg,source_type,source_date,source_detail,source_url,region,is_manual_override
949613,Sonic,Diet Cherry Sugar-free Add-in Rt 44,Toppings & Ingredients,"Diet Cherry Sugar-free Add-in Rt 44, Drink Add Ins & Toppings",,,,30,0,4,0,0,2,45,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949610,Sonic,Diet Cherry Sugar-free Add-in Small,Toppings & Ingredients,"Diet Cherry Sugar-free Add-in Small, Drink Add Ins & Toppings",,,Small,15,0,3,0,0,2,15,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949609,Sonic,Diet Cherry Sugar-free Add-in Wacky Pack,Toppings & Ingredients,"Diet Cherry Sugar-free Add-in Wacky Pack, Drink Add Ins & Toppings",,,,15,0,3,0,0,2,10,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
954070,Sonic,"Double Stuf Oreo Blast, 10oz",Desserts,"Double Stuf Oreo Blast, 10oz, Limited Time Only",10,oz,,600,35,64,6,1,45,330,55,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
954071,Sonic,"Double Stuf Oreo Blast, 14oz",Desserts,"Double Stuf Oreo Blast, 14oz, Limited Time Only",14,oz,,830,47,91,9,1,62,490,90,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
954072,Sonic,"Double Stuf Oreo Blast, 20oz",Desserts,"Double Stuf Oreo Blast, 20oz, Limited Time Only",20,oz,,1130,64,123,13,2,85,650,125,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
954073,Sonic,"Double Stuf Oreo Blast, 32oz",Desserts,"Double Stuf Oreo Blast, 32oz, Limited Time Only",32,oz,,1660,95,181,20,2,124,950,195,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
954069,Sonic,Double Stuf Oreo Waffle Cone,Desserts,"Double Stuf Oreo Waffle Cone, Limited Time Only",,,,590,30,72,7,1,42,370,45,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
487,Sonic,Fish Sandwich,Sandwiches,"Fish Sandwich, Sandwiches",,,,540,27,57,18,4,10,1240,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
954052,Sonic,Fish Sandwich,Sandwiches,"Fish Sandwich, Limited Time Only",,,,540,26,58,18,4,12,1390,45,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
23015,Sonic,Footlong Quarter Pound Coney,Sandwiches,"Footlong Quarter Pound Coney, Hot Dogs",,,,790,49,55,31,3,9,2300,105,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23065,Sonic,"Fries w/ Cheese, Large",Fried Potatoes,"Fries w/ Cheese, Large, Snacks & Sides",,,Large,600,33,64,12,6,2,1150,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23066,Sonic,"Fries w/ Cheese, Medium",Fried Potatoes,"Fries w/ Cheese, Medium, Snacks & Sides",,,Medium,380,22,39,9,3,1,790,25,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23067,Sonic,"Fries w/ Cheese, Small",Fried Potatoes,"Fries w/ Cheese, Small, Snacks & Sides",,,Small,310,17,34,6,3,1,590,20,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23062,Sonic,"Fries, Large",Fried Potatoes,"Fries, Large, Snacks & Sides",,,Large,470,22,63,5,6,1,490,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
